"Year","Quarter ID","Quarter","Nation ID","Nation","State ID","State","Trade Value","Time"
2007,20074,"2007-Q4","mex","México",16,"Michoacán de Ocampo",834903,1193896800000
2007,20074,"2007-Q4","mex","México",17,"Morelos",5977569,1193896800000
2007,20074,"2007-Q4","mex","México",19,"Nuevo León",92497701,1193896800000
2007,20074,"2007-Q4","mex","México",20,"Oaxaca",174007,1193896800000
2007,20074,"2007-Q4","mex","México",21,"Puebla",115335873,1193896800000
2007,20074,"2007-Q4","mex","México",22,"Querétaro",30878221,1193896800000
2007,20074,"2007-Q4","mex","México",23,"Quintana Roo",337372,1193896800000
2007,20074,"2007-Q4","mex","México",24,"San Luis Potosí",32436739,1193896800000
2007,20074,"2007-Q4","mex","México",25,"Sinaloa",401481,1193896800000
2007,20074,"2007-Q4","mex","México",26,"Sonora",110979883,1193896800000
2007,20074,"2007-Q4","mex","México",28,"Tamaulipas",69709538,1193896800000
2007,20074,"2007-Q4","mex","México",29,"Tlaxcala",35489846,1193896800000
2007,20074,"2007-Q4","mex","México",30,"Veracruz de Ignacio de la Llave",948191,1193896800000
2007,20074,"2007-Q4","mex","México",31,"Yucatán",126794138,1193896800000
2007,20074,"2007-Q4","mex","México",32,"Zacatecas",1558546,1193896800000
2008,20081,"2008-Q1","mex","México",1,"Aguascalientes",50494768,1201845600000
2008,20081,"2008-Q1","mex","México",2,"Baja California",30653827,1201845600000
2008,20081,"2008-Q1","mex","México",4,"Campeche",38716670,1201845600000
2008,20081,"2008-Q1","mex","México",5,"Coahuila de Zaragoza",182746801,1201845600000
2008,20081,"2008-Q1","mex","México",8,"Chihuahua",141252155,1201845600000
2008,20081,"2008-Q1","mex","México",9,"Ciudad de México",111650796,1201845600000
2008,20081,"2008-Q1","mex","México",10,"Durango",31075470,1201845600000
2008,20081,"2008-Q1","mex","México",11,"Guanajuato",68595317,1201845600000
2008,20081,"2008-Q1","mex","México",13,"Hidalgo",8231733,1201845600000
2008,20081,"2008-Q1","mex","México",14,"Jalisco",38247332,1201845600000
2008,20081,"2008-Q1","mex","México",15,"Estado de México",72670541,1201845600000
2008,20081,"2008-Q1","mex","México",16,"Michoacán de Ocampo",1187997,1201845600000
2008,20081,"2008-Q1","mex","México",17,"Morelos",7649193,1201845600000
2008,20081,"2008-Q1","mex","México",19,"Nuevo León",77655965,1201845600000
2008,20081,"2008-Q1","mex","México",21,"Puebla",104826497,1201845600000
2008,20081,"2008-Q1","mex","México",22,"Querétaro",29897126,1201845600000
2008,20081,"2008-Q1","mex","México",23,"Quintana Roo",953771,1201845600000
